delta_t,threshold,cluster_id,best_t_days,mean_bmi,group_name
22,0.04300000000000001,4,136,32.88320441884776,群组4
22,0.04300000000000001,5,166,38.321496709430576,群组6
22,0.04300000000000001,6,71,20.703125,群组1
22,0.04400000000000001,0,161,44.343701177,群组7
22,0.04400000000000001,1,141,30.83436199041856,群组3
22,0.04400000000000001,2,146,35.10079343899152,群组5
22,0.04400000000000001,3,129,29.0050345231067,群组2
22,0.04400000000000001,4,142,32.88320441884776,群组4
22,0.04400000000000001,5,167,38.321496709430576,群组6
22,0.04400000000000001,6,73,20.703125,群组1
22,0.04500000000000001,0,162,44.343701177,群组7
22,0.04500000000000001,1,144,30.83436199041856,群组3
22,0.04500000000000001,2,148,35.10079343899152,群组5
22,0.04500000000000001,3,132,29.0050345231067,群组2
22,0.04500000000000001,4,145,32.88320441884776,群组4
22,0.04500000000000001,5,167,38.321496709430576,群组6
22,0.04500000000000001,6,74,20.703125,群组1
24,0.035,0,156,44.343701177,群组7
24,0.035,1,117,30.83436199041856,群组3
24,0.035,2,122,35.10079343899152,群组5
24,0.035,3,107,29.0050345231067,群组2
24,0.035,4,111,32.88320441884776,群组4
24,0.035,5,159,38.321496709430576,群组6
24,0.035,6,70,20.703125,群组1
24,0.036000000000000004,0,157,44.343701177,群组7
24,0.036000000000000004,1,119,30.83436199041856,群组3
24,0.036000000000000004,2,125,35.10079343899152,群组5
24,0.036000000000000004,3,110,29.0050345231067,群组2
24,0.036000000000000004,4,114,32.88320441884776,群组4
24,0.036000000000000004,5,160,38.321496709430576,群组6
24,0.036000000000000004,6,70,20.703125,群组1
24,0.037000000000000005,0,158,44.343701177,群组7
24,0.037000000000000005,1,122,30.83436199041856,群组3
24,0.037000000000000005,2,128,35.10079343899152,群组5
24,0.037000000000000005,3,112,29.0050345231067,群组2
24,0.037000000000000005,4,117,32.88320441884776,群组4
24,0.037000000000000005,5,161,38.321496709430576,群组6
24,0.037000000000000005,6,70,20.703125,群组1
24,0.038000000000000006,0,158,44.343701177,群组7
24,0.038000000000000006,1,125,30.83436199041856,群组3
24,0.038000000000000006,2,131,35.10079343899152,群组5
24,0.038000000000000006,3,115,29.0050345231067,群组2
24,0.038000000000000006,4,121,32.88320441884776,群组4
24,0.038000000000000006,5,162,38.321496709430576,群组6
24,0.038000000000000006,6,70,20.703125,群组1
24,0.03900000000000001,0,159,44.343701177,群组7
24,0.03900000000000001,1,129,30.83436199041856,群组3
24,0.03900000000000001,2,135,35.10079343899152,群组5
24,0.03900000000000001,3,118,29.0050345231067,群组2
24,0.03900000000000001,4,124,32.88320441884776,群组4
24,0.03900000000000001,5,163,38.321496709430576,群组6
24,0.03900000000000001,6,70,20.703125,群组1
24,0.04000000000000001,0,160,44.343701177,群组7
24,0.04000000000000001,1,132,30.83436199041856,群组3
24,0.04000000000000001,2,138,35.10079343899152,群组5
24,0.04000000000000001,3,121,29.0050345231067,群组2
24,0.04000000000000001,4,129,32.88320441884776,群组4
24,0.04000000000000001,5,164,38.321496709430576,群组6
24,0.04000000000000001,6,70,20.703125,群组1
24,0.04100000000000001,0,161,44.343701177,群组7
24,0.04100000000000001,1,136,30.83436199041856,群组3
24,0.04100000000000001,2,141,35.10079343899152,群组5
